fideid,sex,peak_rating,age_first_at_peak,age_last_at_peak,in_top25,in_top100
109878,F,2392,32,32,0,1
110973,M,2652,24,24,0,1
112275,M,2666,32,32,0,1
114987,M,2664,25,25,0,1
160911,F,2352,17,17,0,1
240990,M,2665,20,20,0,1
309095,M,2749,33,33,1,1
310204,M,2680,39,39,0,1
316385,M,2676,27,27,0,1
322750,F,2379,26,26,0,1
358878,M,2677,24,24,0,1
400025,M,2698,52,52,0,1
400041,M,2761,46,46,1,1
400173,M,2694,46,48,0,1
403512,F,2449,38,38,0,1
404853,M,2688,35,35,0,1
405094,F,2430,39,39,0,1
409561,M,2709,32,32,0,1
410608,M,2712,25,25,0,1
497592,F,2366,11,11,0,1
505161,F,2367,16,16,0,1
603767,M,2654,40,42,0,1
605506,M,2728,34,34,0,1
608742,M,2712,34,34,0,1
617822,F,2496,29,29,1,1
618438,M,2662,43,43,0,1
623539,M,2819,26,26,1,1
623725,F,2418,38,38,0,1
633429,M,2658,29,29,0,1
639370,F,2430,31,31,0,1
642908,M,2686,27,27,0,1
662399,M,2659,26,26,0,1
675946,F,2373,26,26,0,1
700070,F,2675,39,39,1,1
702293,M,2707,41,41,0,1
703303,M,2714,36,36,0,1
705136,F,2363,40,40,0,1
709751,F,2385,34,36,0,1
712779,M,2668,26,26,0,1
717444,F,2383,36,36,0,1
718572,M,2681,34,34,0,1
718939,M,2659,28,28,0,1
723894,F,2372,37,37,0,1
738590,M,2776,26,26,1,1
739049,F,2378,24,24,0,1
750930,F,2389,15,15,0,1
777765,F,2425,17,17,0,1
822590,F,2400,25,25,0,1
908550,F,2406,44,45,0,1
911925,M,2661,30,30,0,1
912417,M,2665,39,39,0,1
913553,F,2381,18,18,0,1
921637,M,2673,34,34,0,1
930849,M,2655,29,29,0,1
932400,F,2474,25,25,1,1
937266,F,2388,27,27,0,1
950122,M,2639,23,23,0,1
1000268,M,2696,44,44,0,1
1004786,F,2386,49,49,0,1
1007998,M,2651,38,38,0,1
1017292,F,2391,23,23,0,1
1020854,M,2658,24,25,0,1
1039784,M,2736,27,27,1,1
1048104,M,2679,24,24,0,1
1051563,F,2367,18,18,0,1
1058401,F,2421,17,17,0,1
1106619,F,2485,39,39,1,1
1106686,F,2406,37,37,0,1
1108166,F,2409,34,34,0,1
1112635,M,2660,39,39,0,1
