rule,depth,sex,fideid,peak_rating,age_first_at_peak,age_last_at_peak,months_in_top_n,age_at_window_start,peak_in_final_dataset_month,peak_in_own_last_active_month
union_25,25,M,8602883,2763,31,32,47,26,0,0
union_25,25,M,3503240,2763,36,36,108,32,0,0
union_25,25,M,4650891,2736,33,33,4,30,0,0
union_25,25,M,8603405,2763,25,25,97,16,0,0
union_25,25,M,12940690,2776,21,22,26,11,0,0
union_25,25,M,5072786,2749,26,26,8,16,0,0
union_25,25,M,8604436,2758,27,27,24,26,0,0
union_25,25,M,1118358,2750,30,31,40,28,0,0
union_25,25,M,2004887,2731,28,28,7,24,0,0
union_25,25,M,12539929,2742,23,23,15,15,0,0
union_25,25,M,5007003,2770,30,30,64,29,0,0
union_25,25,M,2093596,2738,22,22,20,12,0,0
union_25,25,M,8603677,2816,26,26,126,23,0,0
union_25,25,M,738590,2776,26,26,81,19,0,0
union_25,25,M,12573981,2804,18,19,75,12,0,0
union_25,25,M,4162722,2732,31,31,1,30,0,0
union_25,25,M,14109603,2785,26,27,104,25,0,0
union_25,25,M,4147235,2758,28,28,7,28,0,0
union_25,25,M,5202213,2822,24,24,130,22,0,0
union_25,25,M,1503014,2882,29,29,130,25,0,0
union_25,25,M,14102951,2765,33,33,21,32,0,0
union_25,25,M,35009192,2801,21,22,31,12,0,0
union_25,25,M,2020009,2842,28,28,130,23,0,0
union_25,25,M,400041,2761,46,46,27,44,0,0
union_25,25,M,14100010,2752,48,48,9,46,0,0
union_25,25,M,8603820,2765,24,24,70,21,0,0
union_25,25,M,2805677,2751,47,47,16,47,0,0
union_25,25,M,14205483,2745,21,21,10,10,1,1
union_25,25,M,1039784,2736,27,27,2,16,1,1
union_25,25,M,24130737,2739,30,30,9,20,0,0
union_25,25,M,623539,2819,26,26,129,25,0,0
union_25,25,M,24133795,2717,24,24,1,15,0,0
union_25,25,M,4168119,2795,33,33,116,25,0,0
union_25,25,M,2016192,2816,28,38,127,28,0,0
union_25,25,M,4168003,2738,26,26,2,24,0,0
union_25,25,M,4126025,2788,34,34,107,32,0,0
union_25,25,M,25059530,2785,20,20,32,10,0,0
union_25,25,M,24175439,2723,20,20,3,13,0,0
union_25,25,M,5000017,2816,46,46,128,46,0,0
union_25,25,M,4101588,2817,41,41,58,40,0,0
union_25,25,M,8601429,2737,29,29,2,28,0,0
union_25,25,M,14204118,2783,20,20,37,11,0,0
union_25,25,M,5029465,2747,30,30,54,21,0,0
union_25,25,M,13400924,2767,32,32,84,28,0,0
union_25,25,M,4158814,2743,26,29,60,25,0,0
union_25,25,M,46616543,2794,18,18,42,9,0,0
union_25,25,M,24116068,2798,21,22,130,21,0,0
union_25,25,M,8601445,2731,34,34,4,30,0,0
union_25,25,M,24101605,2761,21,21,12,17,0,0
union_25,25,M,13401319,2820,33,33,126,30,0,0
union_25,25,M,309095,2749,33,33,35,30,0,0
union_25,25,M,24126055,2720,25,26,3,19,0,0
union_25,25,M,12401137,2741,33,33,57,24,0,0
union_25,25,M,1170546,2760,23,24,91,17,0,0
union_25,25,M,2900084,2816,40,40,107,40,0,0
union_25,25,M,4122356,2759,32,32,23,32,0,0
union_25,25,M,25092340,2723,22,22,3,11,1,1
union_25,25,M,2056437,2719,23,23,3,12,0,0
union_25,25,M,13300474,2809,35,35,127,33,0,0
union_25,25,M,4152956,2751,32,32,49,28,0,0
union_25,25,M,12521213,2718,23,23,2,14,0,0
union_25,25,M,4102142,2768,42,42,57,39,0,0
fixed_25,25,M,1503014,2882,29,29,130,25,0,0
fixed_25,25,M,2020009,2842,28,28,130,23,0,0
fixed_25,25,M,5202213,2822,24,24,130,22,0,0
fixed_25,25,M,13401319,2820,33,33,126,30,0,0
fixed_25,25,M,623539,2819,26,26,129,25,0,0
fixed_25,25,M,4101588,2817,41,41,58,40,0,0
fixed_25,25,M,8603677,2816,26,26,126,23,0,0
fixed_25,25,M,5000017,2816,46,46,128,46,0,0
fixed_25,25,M,2900084,2816,40,40,107,40,0,0
fixed_25,25,M,2016192,2816,28,38,127,28,0,0
fixed_25,25,M,13300474,2809,35,35,127,33,0,0
fixed_25,25,M,12573981,2804,18,19,75,12,0,0
fixed_25,25,M,35009192,2801,21,22,31,12,0,0
fixed_25,25,M,24116068,2798,21,22,130,21,0,0
fixed_25,25,M,4168119,2795,33,33,116,25,0,0
fixed_25,25,M,46616543,2794,18,18,42,9,0,0
fixed_25,25,M,4126025,2788,34,34,107,32,0,0
fixed_25,25,M,25059530,2785,20,20,32,10,0,0
fixed_25,25,M,14109603,2785,26,27,104,25,0,0
fixed_25,25,M,14204118,2783,20,20,37,11,0,0
fixed_25,25,M,12940690,2776,21,22,26,11,0,0
fixed_25,25,M,738590,2776,26,26,81,19,0,0
fixed_25,25,M,5007003,2770,30,30,64,29,0,0
fixed_25,25,M,4102142,2768,42,42,57,39,0,0
fixed_25,25,M,13400924,2767,32,32,84,28,0,0
union_25,25,F,24157570,2468,24,24,13,16,0,0
union_25,25,F,14101513,2489,37,37,16,36,0,0
union_25,25,F,4198026,2505,29,29,93,22,0,0
union_25,25,F,4130189,2468,35,35,8,33,0,0
union_25,25,F,4147855,2497,31,31,72,30,0,0
union_25,25,F,4167570,2548,26,26,79,26,0,0
union_25,25,F,12400149,2474,36,36,13,35,0,0
union_25,25,F,13708694,2516,22,22,36,11,1,1
union_25,25,F,14109336,2563,33,33,130,26,0,0
union_25,25,F,8603162,2479,27,28,28,26,0,0
union_25,25,F,8614300,2454,20,21,7,10,0,0
union_25,25,F,5015197,2543,25,25,130,24,0,0
union_25,25,F,4147103,2611,23,23,126,17,0,0
union_25,25,F,8618020,2452,15,15,6,5,0,0
union_25,25,F,700070,2675,39,39,2,39,0,1
union_25,25,F,4195752,2505,26,26,44,24,0,0
union_25,25,F,4641833,2513,33,33,98,30,0,0
union_25,25,F,12802859,2470,29,29,6,26,0,0
union_25,25,F,5091756,2506,23,23,31,14,0,0
union_25,25,F,13403052,2450,30,30,1,19,1,1
union_25,25,F,4900782,2490,16,16,2,15,0,0
union_25,25,F,932400,2474,25,25,9,15,0,0
union_25,25,F,13602993,2528,31,31,103,28,0,0
union_25,25,F,13601458,2497,32,32,67,31,0,0
union_25,25,F,8605114,2569,28,29,121,18,0,0
union_25,25,F,1106619,2485,39,39,18,37,0,0
union_25,25,F,8608059,2579,23,24,64,13,0,0
union_25,25,F,4129725,2475,43,44,7,43,0,0
union_25,25,F,1700030,2524,52,52,52,52,0,0
union_25,25,F,4134974,2489,30,30,17,30,0,0
union_25,25,F,14110911,2472,32,32,7,30,0,0
union_25,25,F,34127035,2477,21,21,16,11,0,0
union_25,25,F,13700090,2519,24,24,50,19,0,0
union_25,25,F,8601283,2533,30,30,86,30,0,0
union_25,25,F,14101572,2478,37,37,7,37,0,0
union_25,25,F,35006916,2510,21,21,23,10,1,1
union_25,25,F,13604040,2466,30,30,21,21,0,0
union_25,25,F,13600079,2462,60,61,11,53,0,1
union_25,25,F,13602640,2521,27,27,84,27,0,0
union_25,25,F,13403729,2483,22,22,21,15,0,0
union_25,25,F,2810964,2470,27,27,8,20,0,0
union_25,25,F,12512214,2494,23,24,82,18,0,0
union_25,25,F,617822,2496,29,29,64,29,0,0
union_25,25,F,4133471,2475,29,30,7,29,0,1
union_25,25,F,14111330,2587,27,27,130,25,0,0
union_25,25,F,14101602,2478,27,27,31,17,0,0
union_25,25,F,8602980,2683,21,21,130,21,0,0
union_25,25,F,4264312,2479,25,26,11,15,0,0
union_25,25,F,8602727,2491,28,28,2,28,0,1
union_25,25,F,12801259,2542,34,35,52,32,0,0
union_25,25,F,2090732,2486,23,23,10,12,0,0
union_25,25,F,2012782,2477,32,32,3,32,0,0
union_25,25,F,13601903,2573,28,28,130,28,0,0
union_25,25,F,24171760,2516,20,21,64,14,0,0
union_25,25,F,2902257,2533,38,38,85,36,0,0
union_25,25,F,14114550,2563,24,27,130,23,0,0
union_25,25,F,4181751,2479,24,24,7,23,0,0
union_25,25,F,13703544,2507,21,21,78,15,0,0
union_25,25,F,8603642,2561,33,34,130,24,0,0
union_25,25,F,5008123,2589,28,28,111,28,0,0
union_25,25,F,4128125,2561,34,34,130,31,0,0
union_25,25,F,8603006,2604,26,26,130,24,0,0
fixed_25,25,F,8602980,2683,21,21,130,21,0,0
fixed_25,25,F,700070,2675,39,39,2,39,0,1
fixed_25,25,F,4147103,2611,23,23,126,17,0,0
fixed_25,25,F,8603006,2604,26,26,130,24,0,0
fixed_25,25,F,5008123,2589,28,28,111,28,0,0
fixed_25,25,F,14111330,2587,27,27,130,25,0,0
fixed_25,25,F,8608059,2579,23,24,64,13,0,0
fixed_25,25,F,13601903,2573,28,28,130,28,0,0
fixed_25,25,F,8605114,2569,28,29,121,18,0,0
fixed_25,25,F,14114550,2563,24,27,130,23,0,0
fixed_25,25,F,14109336,2563,33,33,130,26,0,0
fixed_25,25,F,8603642,2561,33,34,130,24,0,0
fixed_25,25,F,4128125,2561,34,34,130,31,0,0
fixed_25,25,F,4167570,2548,26,26,79,26,0,0
fixed_25,25,F,5015197,2543,25,25,130,24,0,0
fixed_25,25,F,12801259,2542,34,35,52,32,0,0
fixed_25,25,F,8601283,2533,30,30,86,30,0,0
fixed_25,25,F,2902257,2533,38,38,85,36,0,0
fixed_25,25,F,13602993,2528,31,31,103,28,0,0
fixed_25,25,F,1700030,2524,52,52,52,52,0,0
fixed_25,25,F,13602640,2521,27,27,84,27,0,0
fixed_25,25,F,13700090,2519,24,24,50,19,0,0
fixed_25,25,F,24171760,2516,20,21,64,14,0,0
fixed_25,25,F,13708694,2516,22,22,36,11,1,1
fixed_25,25,F,4641833,2513,33,33,98,30,0,0
union_100,100,M,4116992,2711,38,38,90,38,0,0
union_100,100,M,12909572,2659,25,25,19,16,0,0
union_100,100,M,13702661,2658,32,32,13,26,0,0
union_100,100,M,14102536,2664,34,34,2,34,0,0
union_100,100,M,4100107,2677,50,50,44,46,0,0
union_100,100,M,1113100,2671,54,55,3,52,0,0
union_100,100,M,1207822,2660,37,37,22,31,0,0
union_100,100,M,13402129,2694,24,24,42,23,0,0
union_100,100,M,8603154,2666,31,31,34,24,0,0
union_100,100,M,14117908,2702,27,27,75,27,0,0
union_100,100,M,5074452,2669,26,26,16,16,0,0
union_100,100,M,12539929,2742,23,23,91,15,0,0
union_100,100,M,30953499,2635,16,16,2,5,1,1
union_100,100,M,2093596,2738,22,22,48,12,0,0
union_100,100,M,8603677,2816,26,26,126,23,0,0
union_100,100,M,14102560,2710,35,35,29,35,0,0
union_100,100,M,912417,2665,39,39,9,38,0,0
union_100,100,M,2023970,2704,29,29,120,21,0,0
union_100,100,M,4147235,2758,28,28,112,28,0,0
union_100,100,M,14101025,2685,42,42,38,40,0,0
union_100,100,M,1400355,2655,42,42,5,42,0,0
union_100,100,M,930849,2655,29,29,2,28,0,0
union_100,100,M,921637,2673,34,34,13,32,0,0
union_100,100,M,1048104,2679,24,24,11,15,0,0
union_100,100,M,14100010,2752,48,48,98,46,0,0
union_100,100,M,14205483,2745,21,21,44,10,1,1
union_100,100,M,4100140,2675,49,50,25,49,0,0
union_100,100,M,1116207,2654,30,30,1,30,0,0
union_100,100,M,13413937,2653,21,21,5,10,1,1
union_100,100,M,4151348,2662,25,25,3,25,0,0
union_100,100,M,13401653,2709,29,30,102,27,0,0
union_100,100,M,911925,2661,30,30,13,20,0,0
union_100,100,M,2293307,2680,26,26,20,19,0,0
union_100,100,M,1112635,2660,39,39,10,30,0,0
union_100,100,M,24107581,2696,26,26,65,21,0,0
union_100,100,M,14107201,2665,31,31,11,30,0,0
union_100,100,M,2806851,2710,27,27,60,26,0,0
union_100,100,M,1202758,2687,40,41,80,39,0,0
union_100,100,M,8601160,2713,32,32,114,32,0,0
union_100,100,M,1204297,2657,39,39,2,35,0,0
union_100,100,M,712779,2668,26,26,28,16,0,0
union_100,100,M,14603853,2662,30,30,13,27,0,0
union_100,100,M,35028561,2643,19,19,5,9,0,0
union_100,100,M,14203987,2691,23,24,34,13,0,0
union_100,100,M,1444948,2655,21,21,23,11,0,0
union_100,100,M,633429,2658,29,29,6,25,0,0
union_100,100,M,5029465,2747,30,30,120,21,0,0
union_100,100,M,718939,2659,28,28,4,28,0,0
union_100,100,M,24126055,2720,25,26,120,19,0,0
union_100,100,M,1610856,2703,29,29,80,27,0,0
union_100,100,M,2209390,2715,43,43,96,43,0,0
union_100,100,M,4170350,2661,25,25,3,25,0,0
union_100,100,M,5016690,2670,23,24,36,22,0,0
union_100,100,M,1170546,2760,23,24,126,17,0,0
union_100,100,M,2900084,2816,40,40,119,40,0,0
union_100,100,M,4135539,2715,22,22,81,18,0,0
union_100,100,M,4189302,2712,29,30,107,22,0,0
union_100,100,M,14508150,2703,29,29,100,25,0,0
union_100,100,M,2804344,2673,35,35,9,34,0,0
